Rank,Title,Year,Rating,Run Time (min),Genre
980,Gake no ue no Ponyo,2008,7.6,101,"Animation, Adventure, Comedy"
981,Snow White and the Seven Dwarfs,1937,7.6,83,"Animation, Adventure, Family"
982,I Am Sam,2001,7.6,132,Drama
983,The Last King of Scotland,2006,7.6,123,"Biography, Drama, History"
984,Barton Fink,1991,7.6,116,"Comedy, Drama, Thriller"
985,Seven Pounds,2008,7.6,123,Drama
986,Sabrina,1954,7.6,113,"Comedy, Drama, Romance"
987,The Bridges of Madison County,1995,7.6,135,"Drama, Romance"
988,50/50,2011,7.6,100,"Comedy, Drama, Romance"
989,21 Grams,2003,7.6,124,"Crime, Drama, Thriller"
990,From Here to Eternity,1953,7.6,118,"Drama, Romance, War"
991,25th Hour,2002,7.6,135,Drama
992,United 93,2006,7.6,111,"Action, Drama, History"
993,Philomena,2013,7.6,98,"Biography, Comedy, Drama"
994,Un long dimanche de fiançailles,2004,7.6,133,"Drama, Mystery, Romance"
995,The Taking of Pelham One Two Three,1974,7.6,104,"Action, Crime, Thriller"
996,Control,2007,7.6,122,"Biography, Drama, Music"
997,Les yeux sans visage,1960,7.6,90,"Drama, Horror"
998,Shine,1996,7.6,105,"Biography, Drama, Music"
999,The Invisible Man,1933,7.6,71,"Horror, Sci-Fi"
1000,Celda 211,2009,7.6,113,"Action, Adventure, Crime"
